Power,V: Speed,T_fwd: Draft_forward,T_aft: Draft_after,HDG: Heading,Hs,Tz,D_wave,U_wind,V_wind
4096.859211,-23.35933333,-10.25,-10.2,225.12042259999998,0.336355281,4.113880183,58.28707139,-0.25196017,0.598855224
4062.9048379999995,-23.35192308,-10.25,-10.2,225.1216087,0.334024826,4.1073031,61.21938872,-0.205542793,0.537523656
4105.640942999999,-23.30433333,-10.25,-10.2,213.8038594,0.331767982,4.100032849,64.37844633,-0.16739516699999998,0.480271386
4156.40102,-23.29316667,-10.25,-10.2,225.12453080000003,0.328743176,4.084423131,69.09558445,-0.153352073,0.410797533
4147.498243999999,-23.287,-10.25,-10.2,225.12568230000002,0.326883411,4.072261555,73.97030215,-0.12563678,0.360612425
4121.962114000001,-23.264,-10.25,-10.2,225.12682400000003,0.325340948,4.060380287,78.53047918,-0.167948376,0.285174037
4114.680216,-23.29040404,-10.25,-10.2,225.12795580000002,0.32400805899999996,4.049650768,82.79349033,-0.214931801,0.217030925
4109.966543,-23.28233333,-10.25,-10.2,225.1290778,0.322884913,4.040093607,86.77207952,-0.266078229,0.15583449800000002
4139.132598000001,-23.27533333,-10.25,-10.2,213.8106866,0.321971106,4.03173107,90.47793405,-0.32104105,0.101160335
4110.043495000001,-23.25431667,-10.25,-10.2,225.1318394,0.320683205,4.021737412,94.03389385,-0.39993702600000003,0.038517149
4099.793366000001,-23.22731667,-10.25,-10.2,236.433148,0.320238355,4.016201518,97.177382,-0.461767968,-0.0037124529999999997
4084.099325,-23.2455,-10.25,-10.2,225.1340044,0.318759421,4.002665305,99.76240702,-0.488584295,-0.096096543
4042.449775,-23.21948333,-10.25,-10.2,225.135072,0.317180888,3.9926741519999998,101.3282537,-0.551116771,-0.169485455
4030.6179920000004,-23.25583333,-10.25,-10.2,225.1361298,0.31564149,3.982286695,102.9868723,-0.6232008379999999,-0.233452685
4017.2730340000007,-23.22408333,-10.25,-10.2,225.1371778,0.314141938,3.971515446,104.7284495,-0.705557623,-0.288632044
4021.1693769999993,-23.20196667,-10.25,-10.2,213.818086,0.31268371,3.960369845,106.54375220000001,-0.7988429159999999,-0.33563307
3999.6176210000003,-23.17086667,-10.25,-10.2,225.13975449999998,0.310787398,3.945965135,108.4727825,-0.924629952,-0.37556144700000005
3978.6312100000005,-23.1646,-10.25,-10.2,225.14076790000001,0.307712708,3.9531412930000003,110.6858369,-0.9160544209999999,-0.423532285
3985.2079220000005,-23.20016667,-10.25,-10.2,225.14177149999998,0.30472358,3.9596678130000003,112.9314469,-0.926603768,-0.46095495299999995
3978.8146769999994,-23.27117517,-10.25,-10.2,206.6791365,0.301815603,3.965632675,115.19556440000001,-0.9541846490000001,-0.48779940899999996
4012.244042000001,-23.29111675,-10.25,-10.2,198.5214195,0.298679063,3.975829493,116.3477757,-0.992043316,-0.50007869
3914.0373499999996,-23.25733333,-10.25,-10.2,206.68110259999997,0.295276373,3.9809946910000003,117.7565308,-1.05703576,-0.48811345899999997
3897.0595239999993,-23.25783333,-10.25,-10.2,198.522874,0.29223350600000003,3.9901891610000004,118.92197730000001,-1.1095461420000001,-0.482091572
3825.3604380000006,-23.2695,-10.25,-10.2,198.5237289,0.29210342899999997,3.954455204,119.9027697,-1.2360858190000001,-0.527088112
3845.9482930000004,-23.26876667,-10.25,-10.2,206.6841457,0.29205431600000004,3.918236139,120.7942412,-1.353482624,-0.56934906
3917.7216909999997,-23.20881667,-10.25,-10.2,198.5251242,0.292369826,3.8859794560000003,121.42163240000001,-1.44791108,-0.628280246
4018.901919000001,-23.20915,-10.25,-10.2,180.0,0.29249665199999997,3.84842994,122.128598,-1.5530336619999998,-0.6692936389999999
4007.388581,-23.20409015,-10.25,-10.2,206.6870625,0.292148068,3.815945773,121.9713566,-1.6459413390000002,-0.7105051929999999
4041.885412999999,-23.22416667,-10.25,-10.2,198.52727969999998,0.292691861,3.781617924,122.3897655,-1.7297384009999999,-0.771753108
4042.730403999999,-23.23103333,-10.25,-10.2,198.5280636,0.293431681,3.751150501,121.95230149999999,-1.789137304,-0.7787410090000001
4049.474507,-23.2345,-10.25,-10.2,206.689853,0.294329891,3.722938333,121.2900999,-1.858330066,-0.779798586
4060.3776369999987,-23.27533333,-10.25,-10.2,180.0,0.295035382,3.699955511,120.750082,-1.9081590730000002,-0.812465152
4097.073728,-23.29816667,-10.25,-10.2,198.5300887,0.295027893,3.680622613,119.66514040000001,-1.960842129,-0.8245078109999999
4049.8308160000006,-23.27483333,-10.25,-10.2,206.69251719999997,0.294349175,3.655389967,118.7552477,-2.027121074,-0.8456358079999999
4083.822580000001,-23.31402337,-10.25,-10.2,198.5313063,0.29356183399999997,3.6343194960000003,118.05260259999999,-2.069638381,-0.890377008
4101.865202,-23.33333333,-10.25,-10.2,180.0,0.292788047,3.610005109,117.3606584,-2.2555250119999997,-0.821284226
4127.586816,-23.37916667,-10.25,-10.2,206.6950551,0.292397196,3.594360337,116.71853929999999,-2.404551688,-0.763367844
4137.340674,-23.352999999999998,-10.25,-10.2,198.5331774,0.291434126,3.5745231669999997,116.2685587,-2.530483527,-0.7158261990000001
4145.257295,-23.3640625,-10.25,-10.2,198.53385459999998,0.290114285,3.553538495,115.99764420000001,-2.633854828,-0.6451662220000001
4156.225966000001,-23.41215971,-10.25,-10.2,180.0,0.288596529,3.5336057960000002,115.8824117,-2.705584356,-0.570297478
4195.551270000001,-23.42766667,-10.25,-10.2,198.5349537,0.287541221,3.525151305,115.4867772,-2.763308576,-0.5343742570000001
